broad_topic,subtopic,feature,component,dictionary_row,broad_topic_id,hierarchy_path,repeated_general,exact_duplicate_path
Production,Fish health,Injury,Injury,58,4,Production > Fish health > Injury > Injury,FALSE,FALSE
Production,Fish health,Toxicity,Toxicity,59,4,Production > Fish health > Toxicity > Toxicity,FALSE,FALSE
Production,Fish welfare,General,General,60,4,Production > Fish welfare > General > General,TRUE,FALSE
Production,Fish welfare,Pain,Pain,61,4,Production > Fish welfare > Pain > Pain,FALSE,FALSE
Production,Fish welfare,Stress,Stress,62,4,Production > Fish welfare > Stress > Stress,FALSE,FALSE
Production,Fish welfare,Treatment,Anaesthetic,63,4,Production > Fish welfare > Treatment > Anaesthetic,FALSE,FALSE
Production,Fish welfare,Treatment,Stress treatment,64,4,Production > Fish welfare > Treatment > Stress treatment,FALSE,FALSE
Production,Management,Externalities,Externalities,65,4,Production > Management > Externalities > Externalities,FALSE,FALSE
Production,Management,Fish by-products,Fish by-products,66,4,Production > Management > Fish by-products > Fish by-products,FALSE,FALSE
Production,Management,Fish identification,Fish identification:,67,4,Production > Management > Fish identification > Fish identification:,FALSE,FALSE
Production,Management,General,General,68,4,Production > Management > General > General,TRUE,FALSE
Production,Management,Practices,Farm management,69,4,Production > Management > Practices > Farm management,FALSE,FALSE
Production,Management,Practices,Maximising productivity,70,4,Production > Management > Practices > Maximising productivity,FALSE,FALSE
Production,Management,Practices,Predator deterrent,71,4,Production > Management > Practices > Predator deterrent,FALSE,FALSE
Production,Management,Production stage,Production stage,72,4,Production > Management > Production stage > Production stage,FALSE,FALSE
Production,Management,Productivity,Productivity,73,4,Production > Management > Productivity > Productivity,FALSE,FALSE
Production,Pathology,General,General,74,4,Production > Pathology > General > General,TRUE,FALSE
Production,Pathology,Illness,Illness,75,4,Production > Pathology > Illness > Illness,FALSE,FALSE
Production,Pathology,Impacts,Impacts,76,4,Production > Pathology > Impacts > Impacts,FALSE,FALSE
Production,Pathology,Organism,Organism,77,4,Production > Pathology > Organism > Organism,FALSE,FALSE
Production,Pathology,Prevention,Antiseptic,78,4,Production > Pathology > Prevention > Antiseptic,FALSE,FALSE
Production,Pathology,Prevention,Disinfectant,79,4,Production > Pathology > Prevention > Disinfectant,FALSE,FALSE
Production,Pathology,Prevention,Vaccination,80,4,Production > Pathology > Prevention > Vaccination,FALSE,FALSE
Production,Pathology,Sea lice,General,81,4,Production > Pathology > Sea lice > General,TRUE,FALSE
Production,Pathology,Sea lice,Impacts,82,4,Production > Pathology > Sea lice > Impacts,FALSE,FALSE
Production,Pathology,Sea lice,Species,83,4,Production > Pathology > Sea lice > Species,FALSE,FALSE
Production,Pathology,Sea lice,Treatment,84,4,Production > Pathology > Sea lice > Treatment,FALSE,FALSE
Production,Pathology,Treatment,Anti-parasitic,85,4,Production > Pathology > Treatment > Anti-parasitic,FALSE,FALSE
Production,Pathology,Treatment,Antibiotic,86,4,Production > Pathology > Treatment > Antibiotic,FALSE,FALSE
Production,Pathology,Treatment,Antibiotic resistance,87,4,Production > Pathology > Treatment > Antibiotic resistance,FALSE,FALSE
Production,Pathology,Treatment,Antimicrobial,88,4,Production > Pathology > Treatment > Antimicrobial,FALSE,FALSE
Production,Pathology,Treatment,General,89,4,Production > Pathology > Treatment > General,TRUE,FALSE
Production,Pathology,Treatment,Insecticide,90,4,Production > Pathology > Treatment > Insecticide,FALSE,FALSE
Production,Pathology,Treatment,Nematicide,91,4,Production > Pathology > Treatment > Nematicide,FALSE,FALSE
Research methods,Methodology,General,General,92,5,Research methods > Methodology > General > General,TRUE,FALSE
Research methods,Methodology,Literature review,Literature review,93,5,Research methods > Methodology > Literature review > Literature review,FALSE,FALSE
Research methods,Methodology,Modelling,Modelling,94,5,Research methods > Methodology > Modelling > Modelling,FALSE,FALSE
Research methods,Methodology,Monitoring,Monitoring,95,5,Research methods > Methodology > Monitoring > Monitoring,FALSE,FALSE
Research methods,Research stage,Research stage,Research stage,96,5,Research methods > Research stage > Research stage > Research stage,FALSE,FALSE
